Grade,Section,StudentName,Subject,Test,StudentScore,PossibleScore,Notes,TestDate,Dummy
1,1,Brian,Math,MidTerm,0,100,Absent,2015/10/31,c
1,1,Saulat,Math,MidTerm,90,100,Good,2015/10/31,c
1,1,Mike,Math,MidTerm,70,100,,2015/10/31,c
1,1,Brian,Math,Final,50,100,,2015/12/15,c
1,1,Saulat,Math,Final,86,100,,2015/12/15,c
1,1,Mike,Math,Final,90,100,Good,2015/12/15,c
1,1,Brian,English,MidTerm,80,100,,2015/10/31,c
1,1,Saulat,English,MidTerm,80,100,,2015/10/31,c
1,1,Mike,English,MidTerm,70,100,Pass,2015/10/31,c
1,1,Brian,English,Final,87,100,Fail,2015/12/15,c
1,1,Saulat,English,Final,65,100,,2015/12/15,c
1,1,Mike,English,Final,84,100,,2015/12/15,c
1,2,James,Math,MidTerm,94,100,Good,2015/10/31,c
1,2,Ann,Math,MidTerm,77,100,,2015/10/31,c
1,2,Ava,Math,MidTerm,75,100,,2015/10/31,c
1,2,Harris,Math,MidTerm,74,100,,2015/10/31,c
1,2,James,Math,Final,80,100,,2015/12/15,c
1,2,Ann,Math,Final,86,100,,2015/12/15,c
1,2,Ava,Math,Final,79,100,,2015/12/15,c
1,2,Harris,Math,Final,92,100,Good,2015/12/15,c
1,2,James,English,MidTerm,76,100,,2015/10/31,c
1,2,Ann,English,MidTerm,83,100,,2015/10/31,c
1,2,Ava,English,MidTerm,90,100,Good,2015/10/31,c
1,2,Harris,English,MidTerm,74,100,,2015/10/31,c
1,2,James,English,Final,67,100,,2015/12/15,c
1,2,Ann,English,Final,72,100,,2015/12/15,c
1,2,Ava,English,Final,70,100,,2015/12/15,c
1,2,Harris,English,Final,79,100,,2015/12/15,c
2,1,Alberto,Math,MidTerm,90,100,Good,2015/10/31,c
2,1,Sam,Math,MidTerm,74,100,,2015/10/31,c
2,1,Ida,Math,MidTerm,67,100,,2015/10/31,c
2,1,Lily,Math,MidTerm,72,100,,2015/10/31,c
2,1,Alberto,Math,Final,70,100,,2015/12/15,c
2,1,Sam,Math,Final,79,100,,2015/12/15,c
2,1,Ida,Math,Final,77,100,,2015/12/15,c
2,1,Lily,Math,Final,75,100,,2015/12/15,c
2,1,Alberto,English,MidTerm,74,100,,2015/10/31,c
2,1,Sam,English,MidTerm,80,100,,2015/10/31,c
2,1,Ida,English,MidTerm,86,100,,2015/10/31,c
2,1,Lily,English,MidTerm,79,100,,2015/10/31,c
2,1,Alberto,English,Final,92,100,Good,2015/12/15,c
2,1,Sam,English,Final,76,100,,2015/12/15,c
2,1,Ida,English,Final,83,100,,2015/12/15,c
2,1,Lily,English,Final,78,100,,2015/12/15,c
2,2,Mark,Math,MidTerm,80,100,,2015/10/31,c
2,2,Vanessa,Math,MidTerm,86,100,,2015/10/31,c
2,2,Emily,Math,MidTerm,79,100,,2015/10/31,c
2,2,Mark,Math,Final,92,100,,2015/12/15,c
2,2,Vanessa,Math,Final,76,100,,2015/12/15,c
2,2,Emily,Math,Final,83,100,,2015/12/15,c
2,2,Mark,English,MidTerm,90,100,,2015/10/31,c
2,2,Vanessa,English,MidTerm,74,100,,2015/10/31,c
2,2,Emily,English,MidTerm,67,100,Fail,2015/10/31,c
2,2,Mark,English,Final,72,100,,2015/12/15,c
2,2,Vanessa,English,Final,70,100,,2015/12/15,c
2,2,Emily,English,Final,79,100,,2015/12/15,c
